,Unnamed: 0,age,human_norm_rating,human_rating,norm_r,norm_s,norm_t,post_tran,pre_tran,rotate,scale,session_id,spatial,category,translate,has_ref
26,26,7,-0.53510911925,1.0,-0.391663639492,-0.461641148697,-0.703042306603,-0.654142022133,-0.32033059001,0.0335204,0.0630072279318,CDM_photodraw_e11532468221484,-1.55634709479,square,0.0238652,True
27,27,7,0.586372829096,2.0,-0.600950091971,-0.503487356865,-0.332983961304,-0.722090363503,-0.325024396181,0.0099536,0.0585806822001,CDM_photodraw_e11532468221484,-1.43742141014,shape,0.0545626,True
28,28,7,0.23186944788,2.0,-0.604525495446,-0.461214512154,0.137342168465,-0.400603711605,-0.133169904351,0.00955099,0.0630523580941,CDM_photodraw_e11532468221484,-0.928397839136,circle,0.0935775,False
29,29,4,1.22884788078,3.0,-0.358258513652,-0.825797871491,-0.406391914026,-0.748121380806,-0.287331342697,0.037282,0.0244862613372,CDM_photodraw_e11532471274122,-1.59044829917,square,0.0484732,True
30,30,4,-0.205556612948,2.0,-0.596403243707,0.447934653707,-0.336337673074,-0.555628836155,-0.385651856661,0.0104656,0.159223326404,CDM_photodraw_e11532471274122,-0.484806263073,shape,0.0542844,True
31,31,4,-0.511845974264,1.0,-0.166488083666,0.121342888896,2.69488493352,-0.606334149837,0.00300529366359,0.0588764,0.124676029389,CDM_photodraw_e11532471274122,2.64973973875,circle,0.305733,False
32,32,4,1.22884788078,3.0,-0.687474785039,-0.836983809295,-0.291940171008,-0.795626461506,-0.144035696983,0.000210446,0.0233029984465,CDM_photodraw_e11532472926384,-1.81639876534,square,0.0579673,True
33,33,4,0.160579129181,2.0,-0.340093322004,-0.652695022025,0.446138012543,-0.542651236057,-0.224094495177,0.0393275,0.0427973034362,CDM_photodraw_e11532472926384,-0.546650331485,shape,0.119193,True
34,34,4,0.40961596026,2.0,-0.203859268949,-0.106250350338,2.91466034424,-0.600140452385,-0.0403952747583,0.0546682,0.100600923763,CDM_photodraw_e11532472926384,2.60455072496,circle,0.323964,False
35,35,5,-0.262713541539,1.0,-0.315305006458,-0.772195696743,-0.323062664446,-0.561707556248,-0.163691058755,0.0421188,0.0301563683368,CDM_photodraw_e11532541142092,-1.41056336765,square,0.0553856,True
36,36,5,1.68096808989,3.0,-0.664405178138,-0.819785828552,-0.527101427637,-0.76855558157,-0.426026552916,0.00280821,0.0251222229733,CDM_photodraw_e11532541142092,-2.01129243433,shape,0.03846,True
37,37,5,-0.461557375421,1.0,-0.405337930424,-0.39955909397,0.285263520957,-0.334150344133,-0.0383382886648,0.0319806,0.0695743475442,CDM_photodraw_e11532541142092,-0.519633503437,circle,0.105848,False
38,38,6,0.34819240602,2.0,-0.572838669745,-0.91008694871,-0.297056329437,-0.800546884537,-0.293370723724,0.0131191,0.0155700543181,CDM_photodraw_e11532542255729,-1.77998194789,square,0.0575429,True
39,39,6,0.812600688002,2.0,-0.623261352075,-0.506129762639,-0.514233879318,-0.660235345364,-0.439298689365,0.00744123,0.0583011651181,CDM_photodraw_e11532542255729,-1.64362499403,shape,0.0395274,True
40,40,6,-10.0,-10.0,-0.598693540908,-0.73301744767,-0.0548175595811,-0.553570985794,-0.176834657788,0.0102077,0.0343006939233,CDM_photodraw_e11532542255729,-1.38652854816,circle,0.0776373,False
41,41,6,0.394043250686,3.0,-0.339188392632,-0.926922401075,-0.473748237314,-0.743795335293,-0.304599374533,0.0394294,0.0137891785095,CDM_photodraw_e11532543756370,-1.73985903102,square,0.0428858,True
42,42,6,-0.262713541539,1.0,-0.579981306578,0.624716094701,1.06850349603,-0.492241472006,-0.150107607245,0.0123148,0.177923494647,CDM_photodraw_e11532543756370,1.11323828415,shape,0.17082,True
43,43,6,0.384774151605,2.0,-0.465101455351,-0.238114505846,-0.482595430224,-0.422091543674,-0.185359045863,0.0252509,0.0866521637611,CDM_photodraw_e11532543756370,-1.18581139142,circle,0.0421519,False
44,44,4,-10.0,-10.0,-0.390535807989,-0.886562666043,-0.539439759757,-0.435222387314,-0.289689391851,0.0336474,0.0180584832006,CDM_photodraw_e11532544321666,-1.81653823379,square,0.0374365,True
45,45,4,-0.273826665731,2.0,-0.444334258738,-0.671037860995,-0.525518601055,-0.550249457359,-0.379368454218,0.0275894,0.0408569743334,CDM_photodraw_e11532544321666,-1.64089072079,shape,0.0385913,True
46,46,4,0.912870929175,3.0,2.04317005368,0.561002977624,1.61792394028,-0.614553332329,0.00197412609123,0.307696,0.171183839161,CDM_photodraw_e11532544321666,4.22209697158,circle,0.216396,False
47,47,6,0.394043250686,3.0,-0.587087533103,-0.973094745728,-0.800279454342,-0.682633578777,-0.584552526474,0.0115146,0.00890500849518,CDM_photodraw_e11532545713435,-2.36046173317,square,0.0157991,True
48,48,6,1.35866875035,3.0,-0.520812779373,-0.604104354442,-0.407004309992,-0.780548155308,-0.392572313547,0.0189775,0.047937286761,CDM_photodraw_e11532545713435,-1.53192144381,shape,0.0484224,True
